"","fromgene","togene"
"657","1489","163702"
"658","1489","1956"
"659","1489","2057"
"660","1489","2690"
"661","1489","3454"
"662","1489","3455"
"663","1489","3459"
"664","1489","3460"
"665","1489","3559"
"666","1489","3560"
"667","1489","3561"
"668","1489","3563"
"669","1489","3566"
"670","1489","3568"
"671","1489","3570"
"672","1489","3572"
"673","1489","3575"
"674","1489","3581"
"675","1489","3587"
"676","1489","3588"
"677","1489","3590"
"678","1489","3594"
"679","1489","3595"
"680","1489","3597"
"681","1489","3598"
"682","1489","3601"
"683","1489","3953"
"684","1489","3977"
"685","1489","4352"
"686","1489","50615"
"687","1489","5156"
"688","1489","5159"
"689","1489","53832"
"690","1489","53833"
"691","1489","5618"
"692","1489","58985"
"693","1489","64109"
"694","1489","9180"
"695","1489","9466"
"696","282616","116379"
"697","282616","1271"
"698","282616","1438"
"699","282616","1439"
"700","282616","1441"
"701","282616","149233"
"702","282616","163702"
"703","282616","1956"
"704","282616","2057"
"705","282616","2690"
"706","282616","3454"
"707","282616","3455"
"708","282616","3459"
"709","282616","3460"
"710","282616","3559"
"711","282616","3560"
"712","282616","3561"
"713","282616","3563"
"714","282616","3566"
"715","282616","3568"
"716","282616","3570"
"717","282616","3572"
"718","282616","3575"
"719","282616","3581"
"720","282616","3587"
"721","282616","3588"
"722","282616","3590"
"723","282616","3594"
"724","282616","3595"
"725","282616","3597"
"726","282616","3598"
"727","282616","3601"
"728","282616","3953"
"729","282616","3977"
"730","282616","4352"
"731","282616","50615"
"732","282616","5156"
"733","282616","5159"
"734","282616","53832"
"735","282616","53833"
"736","282616","5618"
"737","282616","58985"
"738","282616","64109"
"739","282616","9180"
"740","282616","9466"
"741","282617","116379"
"742","282617","1271"
"743","282617","1438"
"744","282617","1439"
"745","282617","1441"
"746","282617","149233"
"747","282617","163702"
"748","282617","1956"
"749","282617","2057"
"750","282617","2690"
"751","282617","3454"
"752","282617","3455"
"753","282617","3459"
"754","282617","3460"
"755","282617","3559"
"756","282617","3560"
"757","282617","3561"
"758","282617","3563"
"759","282617","3566"
"760","282617","3568"
"761","282617","3570"
"762","282617","3572"
"763","282617","3575"
"764","282617","3581"
"765","282617","3587"
"766","282617","3588"
"767","282617","3590"
"768","282617","3594"
"769","282617","3595"
"770","282617","3597"
"771","282617","3598"
"772","282617","3601"
"773","282617","3953"
"774","282617","3977"
"775","282617","4352"
"776","282617","50615"
"777","282617","5156"
"778","282617","5159"
"779","282617","53832"
"780","282617","53833"
"781","282617","5618"
"782","282617","58985"
"783","282617","64109"
"784","282617","9180"
"785","282617","9466"
"786","282618","116379"
"787","282618","1271"
"788","282618","1438"
"789","282618","1439"
"790","282618","1441"
"791","282618","149233"
"792","282618","163702"
"793","282618","1956"
"794","282618","2057"
"795","282618","2690"
"796","282618","3454"
"797","282618","3455"
"798","282618","3459"
"799","282618","3460"
"800","282618","3559"
"801","282618","3560"
"802","282618","3561"
"803","282618","3563"
"804","282618","3566"
"805","282618","3568"
"806","282618","3570"
"807","282618","3572"
"808","282618","3575"
"809","282618","3581"
"810","282618","3587"
"811","282618","3588"
